timestamp,occupation,status,domain,count
2020-04-27,Sales and marketing support,new,es,4
2020-04-27,Sales and marketing support,new,ph,107
2020-04-27,Sales and marketing support,new,ru,60
2020-04-27,Software development and technology,new,es,136
2020-04-27,Software development and technology,new,ph,2
2020-04-27,Software development and technology,new,ru,249
2020-04-27,Writing and translation,new,es,20
2020-04-27,Writing and translation,new,ph,15
2020-04-27,Writing and translation,new,ru,39
2020-04-28,Clerical and data entry,new,es,10
2020-04-28,Clerical and data entry,new,ph,100
2020-04-28,Clerical and data entry,new,ru,16
2020-04-28,Creative and multimedia,new,es,58
2020-04-28,Creative and multimedia,new,ph,41
2020-04-28,Creative and multimedia,new,ru,260
2020-04-28,Professional services,new,ru,20
2020-04-28,Sales and marketing support,new,es,6
2020-04-28,Sales and marketing support,new,ph,186
2020-04-28,Sales and marketing support,new,ru,93
2020-04-28,Software development and technology,new,es,193
2020-04-28,Software development and technology,new,ph,8
2020-04-28,Software development and technology,new,ru,383
2020-04-28,Writing and translation,new,es,18
2020-04-28,Writing and translation,new,ph,31
2020-04-28,Writing and translation,new,ru,77
2020-04-29,Clerical and data entry,new,es,5
2020-04-29,Clerical and data entry,new,ph,125
2020-04-29,Clerical and data entry,new,ru,13
2020-04-29,Creative and multimedia,new,es,69
2020-04-29,Creative and multimedia,new,ph,45
2020-04-29,Creative and multimedia,new,ru,278
2020-04-29,Professional services,new,ru,18
2020-04-29,Sales and marketing support,new,es,5
2020-04-29,Sales and marketing support,new,ph,223
2020-04-29,Sales and marketing support,new,ru,89
2020-04-29,Software development and technology,new,es,178
2020-04-29,Software development and technology,new,ph,12
2020-04-29,Software development and technology,new,ru,370
2020-04-29,Writing and translation,new,es,15
2020-04-29,Writing and translation,new,ph,45
2020-04-29,Writing and translation,new,ru,73
2020-04-30,Clerical and data entry,new,es,11
2020-04-30,Clerical and data entry,new,ph,81
2020-04-30,Clerical and data entry,new,ru,27
2020-04-30,Creative and multimedia,new,es,68
2020-04-30,Creative and multimedia,new,ph,33
2020-04-30,Creative and multimedia,new,ru,229
2020-04-30,Professional services,new,ph,1
2020-04-30,Professional services,new,ru,31
2020-04-30,Sales and marketing support,new,es,10
2020-04-30,Sales and marketing support,new,ph,150
2020-04-30,Sales and marketing support,new,ru,96
2020-04-30,Software development and technology,new,es,179
2020-04-30,Software development and technology,new,ph,5
2020-04-30,Software development and technology,new,ru,410
2020-04-30,Writing and translation,new,es,31
2020-04-30,Writing and translation,new,ph,27
2020-04-30,Writing and translation,new,ru,75
2020-05-01,Clerical and data entry,new,es,8
2020-05-01,Clerical and data entry,new,ph,138
2020-05-01,Clerical and data entry,new,ru,15
2020-05-01,Creative and multimedia,new,es,54
2020-05-01,Creative and multimedia,new,ph,46
2020-05-01,Creative and multimedia,new,ru,206
2020-05-01,Professional services,new,es,2
2020-05-01,Professional services,new,ru,25
2020-05-01,Sales and marketing support,new,es,7
2020-05-01,Sales and marketing support,new,ph,223
2020-05-01,Sales and marketing support,new,ru,82
2020-05-01,Software development and technology,new,es,176
2020-05-01,Software development and technology,new,ph,12
2020-05-01,Software development and technology,new,ru,375
2020-05-01,Writing and translation,new,es,17
2020-05-01,Writing and translation,new,ph,39
2020-05-01,Writing and translation,new,ru,58
2020-05-02,Clerical and data entry,new,es,1
2020-05-02,Clerical and data entry,new,ph,69
2020-05-02,Clerical and data entry,new,ru,16
2020-05-02,Creative and multimedia,new,es,65
2020-05-02,Creative and multimedia,new,ph,31
2020-05-02,Creative and multimedia,new,ru,173
2020-05-02,Professional services,new,ru,15
2020-05-02,Sales and marketing support,new,es,5
